text;intent
Который час?;Скажи время
Скажи время;Скажи время
Сколько сейчас времени?;Скажи время
Сколько ща время?;Скажи время
скажи, пожалуйста, сколько время?;Скажи время
который сейчас час?;Скажи время
какое сейчас время?;Скажи время
сколько сейчас на часах?;Скажи время
сколько времени сейчас?;Скажи время
Скажи точное время;Скажи время
Заведи будильник на завтра на 9 утра;Заведи будильник
Поставь будильник на 7:30;Заведи будильник
поставь, пожалуйста, будильник на 15:20;Заведи будильник
разбуди меня в 8 утра;Заведи будильник
Поставь ежедневный будильник на 10:45;Заведи будильник
заведи будильник на 17:30;Заведи будильник
Поставьте будильник на 2 часа дня;Заведи будильник
Будильник на 10 утра;Заведи будильник
поставь будильник на 16:00;Заведи будильник
заведи, пожалуйста, будильник на 11 часов;Заведи будильник
разбуди меня в 18:30;Заведи будильник
будильник на 21:00;Заведи будильник
Добрый день! Я бы хотел заказать один;Заказ билетов на поезд
Хочу оформить билет на Сапсан из Москвы;Заказ билетов на поезд
Мне нужно 3;Заказ билетов на поезд
Есть билеты на поезд в субботу?;Заказ билетов на поезд
Мне нужен билет на пригородный поезд Москва;Заказ билетов на поезд
Дайте два;Заказ билетов на поезд
оформите, пожалуйста, 2;Заказ билетов на поезд
мне билет из Братска на ближайший поезд;Заказ билетов на поезд
4 на ближайшее время, пожалуйста;Заказ билетов на поезд
мне нужен билет на поезд Уфа;Заказ билетов на поезд
Девушка, подскажите, у вас есть 5 на самый ранний поезд?;Заказ билетов на поезд
билет на поезд из Москвы;Заказ билетов на поезд
мне один;Заказ билетов на поезд
мне два;Заказ билетов на поезд
дайте билет на поезд из Адлера;Заказ билетов на поезд
2;Заказ билетов на поезд
Дайте, пожалуйста, билет на поезд из Томска;Заказ билетов на поезд
билет из Якутска на ближайший поезд;Заказ билетов на поезд
добрый день! два, пожалуйста;Заказ билетов на поезд
Выключи свет;Выключи свет
выключи свет в комнате;Выключи свет
выключи, пожалуйста, свет;Выключи свет
выключи романтическое освещение;Выключи свет
выключи бра;Выключи свет
выключи лампу;Выключи свет
выключи люстру;Выключи свет
выключи верхний свет в детской;Выключи свет
Выключи подсветку;Выключи свет
выключи свет в гостиной;Выключи свет
Выключи свет в коридоре;Выключи свет
Выключи свет в спальне;Выключи свет
Выключи свет везде;Выключи свет
Выключи настольную лампу;Выключи свет
Выключи освещение в ванной;Выключи свет
Выключи торшер в комнате;Выключи свет
Включи классическую музыку;Включи музыку
Включи Бетховена;Включи музыку
Включи Симфонию номер пять Бетховена;Включи музыку
Включи Лунную сонату Бетховена;Включи музыку
Включи К Элизе Бетховена;Включи музыку
Включи Моцарта;Включи музыку
Включи Реквием Моцарта;Включи музыку
Включи Маленькую ночную серенаду Моцарта;Включи музыку
Включи Свадьбу Фигаро Моцарта;Включи музыку
Включи Баха;Включи музыку
Включи токкату и фугу ре минор Баха;Включи музыку
Включи Шопена;Включи музыку
Включи Дебюсси;Включи музыку
Включи Чайковского;Включи музыку
Включи музыку Вагнера;Включи музыку
Включи какую-нибудь композицию Рахманинова;Включи музыку
Включи Времена года Вивальди;Включи музыку
Включи Аве Мария Шуберта;Включи музыку
Включи Женитьбу Фигаро Моцарта;Включи музыку
Включи Канон в ре мажоре Пахельбеля;Включи музыку
Включи Шостаковича;Включи музыку
Включи Лунный свет Дебюсси;Включи музыку
Включи Пираты Карибского моря;Включи фильм
Включи фильм Большой куш;Включи фильм
Включи Карты деньги два ствола;Включи фильм
Включи, пожалуйста, фильм Криминальное чтиво;Включи фильм
Включи трилогию Властелин Колец;Включи фильм
Включи режиссёрскую версию Лиги справедливости;Включи фильм
Включи любой фильм Марвел;Включи фильм
Включи романтическую комедию;Включи фильм
Включи фильм с Чарли Чаплином;Включи фильм
Включи Интерстеллар;Включи фильм
Включи Форрест Гамп;Включи фильм
Включи фильм про Шотландию с Мелом Гибсоном;Включи фильм
Включи фильм Король лев;Включи фильм
Включи Человека Паука Возвращение домой;Включи фильм
Включи вторую часть Крёстного отца;Включи фильм
Включи Иван Васильевич меняет профессию;Включи фильм
Включи фильм Омерзительная восьмёрка;Включи фильм
Включи фильм Достучаться до небес;Включи фильм
включи Вечное сияние чистого разума;Включи фильм
включи Дневник памяти;Включи фильм
включи фильм Андрей Рублёв;Включи фильм
включи фильм Солярис;Включи фильм
Включи свет;Включи свет
включи свет в комнате;Включи свет
включи, пожалуйста, свет;Включи свет
включи романтическое освещение;Включи свет
включи бра;Включи свет
включи лампу;Включи свет
включи люстру;Включи свет
включи верхний свет в детской;Включи свет
Включи подсветку;Включи свет
включи свет в гостиной;Включи свет
Включи свет в коридоре;Включи свет
Включи свет в спальне;Включи свет
Включи свет везде;Включи свет
Включи настольную лампу;Включи свет
Включи освещение в ванной;Включи свет
Включи торшер в комнате;Включи свет
ахахахаха;Хаха
хахахаха;Хаха
ха-ха;Хаха
пхахахахах;Хаха
ахаха;Хаха
хаха;Хаха
лол;Хаха
лал;Хаха
лул;Хаха
ржачно);Хаха
смешно));Хаха
вот это прикол);Хаха
ухахаха;Хаха
АХАХАХАХАХ;Хаха
очень смешно));Хаха
)));Хаха
));Хаха
);Хаха
))));Хаха
)))));Хаха
:);Хаха
:));Хаха
:-);Хаха
Что ещё?;Ещё
Ещё что?;Ещё
Давай ещё;Ещё
Хочу ещё;Ещё
ещё;Ещё
что-нибудь ещё?;Ещё
давай ещё другой;Ещё
еще;Ещё
Есть еще?;Ещё
расскажи еще;Ещё
еще хочу;Ещё
еще давай;Ещё
Еще, пожалуйста;Ещё
ривет;Ещё
Какие новости?;Какие новости?
Что новенького?;Какие новости?
Расскажи последние новости;Какие новости?
Что нового происходит в мире?;Какие новости?
Поделись новостями;Какие новости?
Что нового можешь рассказать?;Какие новости?
что по новостям?;Какие новости?
что происходит в мире?;Какие новости?
расскажи о новостях на сегодня;Какие новости?
узнать последние новости;Какие новости?
мне нужны последние новости;Какие новости?
что нового у тебя?;Какие новости?
нет;Нет
да в общем нет;Нет
нет необходимости;Нет
наверное нет;Нет
нет, скорее всего;Нет
скорее всего нет;Нет
нет, наверное;Нет
Полагаю, что нет;Нет
вообще нет;Нет
не;Нет
нет уж;Нет
неа;Нет
точно нет;Нет
нет нет;Нет
не надо;Нет
не хочу;Нет
не буду;Нет
отказываюсь;Нет
отмена;Нет
отбой;Нет
да;Да
наверное, да;Да
скорее всего, да;Да
да, наверное;Да
да, скорее всего;Да
да, давайте;Да
угу;Да
ага;Да
да да да;Да
согласен;Да
согласна;Да
подтверждаю;Да
давай;Да
окей;Да
ок;Да
хорошо;Да
океюшки;Да
ладно;Да
добро;Да
давайте;Да
да, отлично;Да
конечно, да!;Да
ну конечно да;Да
Всё просто ужасно;Как дела? - Плохо
Мне очень плохо;Как дела? - Плохо
чувствую себя паршиво;Как дела? - Плохо
дела идут плохо;Как дела? - Плохо
дела довольно скверно;Как дела? - Плохо
всё хуже некуда;Как дела? - Плохо
дела у меня так себе;Как дела? - Плохо
у меня хуже не бывает;Как дела? - Плохо
Дела просто отвратительно;Как дела? - Плохо
у меня всё плохо;Как дела? - Плохо
дела у меня не очень;Как дела? - Плохо
у меня всё плохо;Как дела? - Плохо
у меня дела хреново;Как дела? - Плохо
дела у меня отстойно;Как дела? - Плохо
дела у меня более-менее;Как дела? - Хорошо
дела неплохо;Как дела? - Хорошо
у меня все хорошо;Как дела? - Хорошо
У меня все прекрасно;Как дела? - Хорошо
У меня дела отлично!;Как дела? - Хорошо
у меня дела полный улёт!;Как дела? - Хорошо
У меня всё супер;Как дела? - Хорошо
дела у меня хорошо;Как дела? - Хорошо
у меня всё замечательно!;Как дела? - Хорошо
у меня дела нормально;Как дела? - Хорошо
у меня дела супер;Как дела? - Хорошо
у меня всё отлично;Как дела? - Хорошо
дела у меня вполне ок;Как дела? - Хорошо
я в порядке;Как дела? - Хорошо
нормально;Как дела? - Хорошо
хорошо;Как дела? - Хорошо
отлично;Как дела? - Хорошо
лучше всех;Как дела? - Хорошо
просто супер;Как дела? - Хорошо
прекрасно;Как дела? - Хорошо
норм;Как дела? - Хорошо
Спасибо!;Спасибо
благодарю!;Спасибо
большое спасибо!;Спасибо
спасибо огромное!;Спасибо
угу, спасибо!;Спасибо
спасибки;Спасибо
мерси!;Спасибо
О, спасибо огромнейшее!;Спасибо
Благодарю.;Спасибо
Спасибо за это;Спасибо
От души, спасибо;Спасибо
Большущее спасибо;Спасибо
Спасибо за помощь;Спасибо
Спасибо большое;Спасибо
Спасибочки;Спасибо
Спасибище!;Спасибо
Огромное тебе спасибо!;Спасибо
благодарна тебе;Спасибо
Большое спасибо;Спасибо
можно вопрос?;Можно спросить?
хочу спросить;Можно спросить?
у меня вопросик;Можно спросить?
вопрос есть;Можно спросить?
хочу задать вопрос;Можно спросить?
Нужно кое-что обсудить;Можно спросить?
Я хотела кое-что спросить;Можно спросить?
Можно задать вопрос?;Можно спросить?
У меня тут накопилось пару вопросов;Можно спросить?
Мне нужна твоя консультация;Можно спросить?
Помоги мне кое с чем разобраться;Можно спросить?
позвольте задать несколько интересующих меня вопросов;Можно спросить?
Тут у меня один вопрос к тебе;Можно спросить?
Хочу спросить кое-что;Можно спросить?
У меня возник вопрос;Можно спросить?
Можно спросить?;Можно спросить?
Хочу обсудить кое-что;Можно спросить?
Ответишь на вопрос?;Можно спросить?
Хочу посоветоваться;Можно спросить?
спрошу кое-что;Можно спросить?
Позволь задать вопрос ;Можно спросить?
Ответь на мой один вопрос, пожалуйста;Можно спросить?
Как дела?;Как дела?
как жизнь?;Как дела?
чё кого?;Как дела?
как поживаешь?;Как дела?
ну как ты?;Как дела?
как твоё ничего?;Как дела?
Как дела, бот?;Как дела?
как ты поживаешь, дружище?;Как дела?
привет, как дела?;Как дела?
здравствуй, как жизнь?;Как дела?
как делишки?;Как дела?
йоу, как дела?);Как дела?
Как поживаете?;Как дела?
как твоя жизнь?;Как дела?
Как жизнь, братуха?;Как дела?
Как ты?;Как дела?
привет, как у тебя дела?;Как дела?
Здравствуй, как поживаешь?;Как дела?
Здравствуйте, как ваши дела?;Как дела?
как житуха?;Как дела?
привет! меня зовут Ваня;Как меня зовут
меня зовут Вася;Как меня зовут
моё имя Федя;Как меня зовут
для друзей я Клавка;Как меня зовут
я Иван;Как меня зовут
меня зовут Катя;Как меня зовут
я Филя;Как меня зовут
друзья меня зовут Катрин;Как меня зовут
Мое имя Аслан;Как меня зовут
Можно просто Паша;Как меня зовут
Здравствуйте! Я Коля;Как меня зовут
имя Аня;Как меня зовут
Сеня меня зовут;Как меня зовут
меня называют Ирочка;Как меня зовут
я Кристина;Как меня зовут
меня зовут Петя;Как меня зовут
у меня имя Катрин;Как меня зовут
ко мне можно обращаться Семён Петрович;Как меня зовут
кто же ты такой?;Как тебя зовут?
как твоё имя?;Как тебя зовут?
как тебя зовут?;Как тебя зовут?
скажи своё имя;Как тебя зовут?
кто ты?;Как тебя зовут?
ты кто такой?;Как тебя зовут?
Как твое имя?;Как тебя зовут?
как к вам можно обращаться?;Как тебя зовут?
как тебя звать?;Как тебя зовут?
как можно к тебе обращаться?;Как тебя зовут?
кто же ты?;Как тебя зовут?
как звать-то?;Как тебя зовут?
у тебя есть имя?;Как тебя зовут?
кто ты или что ты?;Как тебя зовут?
Кто ты есть?;Как тебя зовут?
расскажи о себе;Как тебя зовут?
Кто ты по жизни?;Как тебя зовут?
Что ты такое?;Как тебя зовут?
какая погода в Сочи?;Какая погода?
Какой сегодня прогноз погоды?;Какая погода?
какая там погода в Питере?;Какая погода?
какая сейчас погода?;Какая погода?
погода в спб;Какая погода?
Скажи, какая погода на улице?;Какая погода?
какая погода в Москве?;Какая погода?
сколько сейчас градусов на улице?;Какая погода?
сегодня будет дождь?;Какая погода?
какая погода?;Какая погода?
что там с погодой?;Какая погода?
прогноз погоды;Какая погода?
погода в москве;Какая погода?
какая будет погода в москве;Какая погода?
погода на вечер;Какая погода?
какая сегодня температура?;Какая погода?
сегодня будет холодно?;Какая погода?
ожидается дождь?;Какая погода?
сегодня солнечная погода?;Какая погода?
какая погода будет днём?;Какая погода?
что по погоде на завтра?;Какая погода?
какие прогнозы синоптиков на вечер?;Какая погода?
когда наступит хорошая погода?;Какая погода?
какая будет погода сегодня?;Какая погода?
сегодня будет тепло?;Какая погода?
какой прогноз погоды на вечер?;Какая погода?
какая погода в Питере вечером?;Какая погода?
какая погода будет завтра?;Какая погода?
прогноз погоды в москве;Какая погода?
пока!;Пока
До скорого;Пока
Прощай!;Пока
до свидания;Пока
досвидули;Пока
покидули;Пока
пока-пока;Пока
до встречи!;Пока
до завтра!;Пока
прощайте;Пока
покеда!;Пока
До свиданья!;Пока
давай, пока!;Пока
До новых встреч!;Пока
Пока;Пока
Салют!;Привет
Привет!;Привет
привет, ботик!;Привет
приветики;Привет
Здравствуй!;Привет
здравствуйте;Привет
добрый день!;Привет
доброе утро!;Привет
добрый вечер!;Привет
прив;Привет
приффки;Привет
здарова;Привет
привет, бот;Привет
здрасте;Привет
здрасьте здрасьте;Привет
приветствую!;Привет
дратуте;Привет
приветствую тебя, бот!;Привет
превед;Привет
Всем привет;Привет
Хей;Привет
Привет, привет;Привет
ДД!;Привет
С добрым утром!;Привет
хай;Привет
Здарова;Привет